MAT_TYPE_CODE,MAT_TYPE_NAME,MAT_TYPE_DESC
MT00455,C2680R-H Sn 0.64x45xCOIL,PRESS
MT00456,PA66 CM3801G-15 (B1 BLACK),AMILAN
MT00457,C1100R-1/2H AgS-SP2 0.64x71.5,PRESS
MT00458,C1100R-1/2H AgW-SP2 0.64x71.5,PRESS
MT00459,C1100R-1/2 Ag S SP2 0.64x79,PRESS
MT00460,C1100R-1/2H AgW-SP2  0.64x75,PRESS
MT00461,C1100R-1/2H Ag S-SP2 (U)(SPM) 0.64*77,PRESS
MT00462,C1100R-1/2H Ag S-SP2 (U)(SPM)0.64*79,PRESS
MT00463,PA66 CM3001G-30+M050 G1 (G),AMILAN
MT00464,PA66 R530H (BK08 Q555 BLACK),VYDYNE
MT00465,POM F20-03 (E9001 BLACK),IUPITAL
MT00466,ABS E1500 (TJB2888T BLACK),TECHNO MUH
MT00467,C2680R-H Sn 0.64x28xCOIL,PRESS
MT00468,PA66 70G30HSLR (NC010 NATURAL),ZYTEL
MT00469,ABS 470YMH1NB385(B)/PC S3000UR7790H(W),DOUBLE INJECTION
MT00470,C1100R-1/2H Ag W-SP2 0.64x79,PRESS
MT00471,OLIN7025R-TM03 0.2x18xCOIL,VALEO COMFORT
MT00472,C2680R-1/2H (SPM) 0.64x20xCOIL,17M-CRV
MT00473,PA6 CM1011G-30+M050 Y0001 (Y),AMILAN
MT00474,PBT 5101H01 (NATURAL),TORAYCON
MT00475,PC/PET GMB1110 (9010 BLACK),IUPILON
MT00476,PBT 3105 (ED3002 BLACK),DURANEX
MT00477,PBT HF-HS1 CS7000NY (NE-7000 NATURAL),DURANEX
MT00478,PA66 CM3801G-15 (S0001 BLUE),AMILAN
MT00479,PBT 2092 (ED3002 BLACK),DURANEX
MT00480,ABS 470YMH1NB385(B)/PC S3000URR7F4Q(W),DOUBLE INJECTION
MT00481,C1020R-1/2H AgNi  SP3 0.5x26xCoil,PRESS
MT00482,PBT HF-HS1 CS7000NY (EG-7006 GRAY),DURANEX
MT00483,C1020R-1/2H  Ag/Ni Inlay 0.5x26xCoil,J36A model
MT00484,"C1100R-H AgW0.64x91xcoil/2-3um(U),1umUp(D)",PASAP  :  MODEL 690A
MT00485,PA66 CR302+LC020 M88000M (BL),LEONA
MT00486,PC/ABS MB2213R (9001 BLACK),IUPILON
MT00487,PA66 1402SH (XA1 NATURAL),LEONA
MT00488,PA6 1013NW8 (NATURAL),UBE NYLON
MT00489,ABS TK-31NPP1017D(G)/PMMA VH001(N),2-STEP INJECTION
MT00490,PMMA VH (001 NATURAL),ACRYPET
MT00491,PC L-1225Z (QF20411ZH RED),PANLITE
MT00492,ABS E1500 (TJB0728T BLACK),TECHNO MUH
MT00493,"C1100R-H AgW0.64x98xcoil/2-3um(U),1umUp(D)",null
MT00494,PC H3000-Q8053(G)/S2000U(N),2-STEP INJECTION
MT00495,C2680R-H AG 0.5UM 0.64x67xCOIL,PRESS RENEVAL DIE#2
MT00496,PC S-2000U (NATURAL),IUPILON
MT00497,PC S-2000U (Q7039 WHITE),IUPILON
MT00498,PC H3000-Q8053(G)/S2000UQ7039(W),2-STEP INJECTION
MT00499,ABS TK-31 (N1796 BLACK),BULKSAM
MT00500,ABS E1500 (TJB0148T BLACK),TECHNO MUH
MT00501,WAIT  MATERIAL NAME,null
MT00502,PA66 R530H BK0201,null
MT00503,C1100R-1/2H Sn 0.64x39.6xCoil,MODEL : 014B
MT00504,C1100R-1/2H  0.64x36xCoil,model : 014B
MT00505,C2680R-H  Sn 0.64x32xCoil,MODEL J59
