MAT_TYPE_CODE,MAT_TYPE_NAME,MAT_TYPE_DESC
MT00104,PA66 CM3001G-45 (B1 BLACK),AMILAN
MT00105,PA6T/6I HTV-5H1 (9205 BLACK),GRIVORY
MT00106,PBT 2092 (EF2001 NATURAL),DURANEX
MT00107,PP P400S-P (NATURAL),EL-PRO
MT00108,TPE 4767NW (RB980 BLACK),HYTREL
MT00109,DURACON M90-44 (THA9949D) (LIG,HOZ_20110919
MT00110,HYTREL 6347 M (NATURAL),HOZ_20110919
MT00111,PP AH561 (TJA5259P BLACK),COSMOPLENE
MT00112,POM M90-45 (CD9100 BLACK),DURACON
MT00113,PA6 CM1011G-30+M020 S0001 (BL),AMILAN
MT00114,POM C 9021 XAP (BLACK),HOSTAFORM
MT00115,PPS A515 X01 (NATURAL),TORELINA
MT00116,POM M90LV (CF2001 NATURAL),DURACON
MT00117,PC S-3000UR (R5LNQ SMOKE),IUPILON
MT00118,PBT 2002 (EF2001 NATURAL),DURANEX
MT00119,POM M90-45LV (CD3068 BLACK),DURACON
MT00120,POM GH-25 (CD3501 BLACK),DURACON
MT00121,POM M90S (CF2001 NATURAL),DURACON
MT00122,ABS IM-15S (BLACK),STYLAC
MT00123,POM FX-11J (NATURAL),IUPITAL
MT00124,POM M90LV+M90-07 K09011 (G),DURACON
MT00125,S300R 7722Y MILKY WHITE+ ABS:UT10B0494(BLACK),null
MT00126,TAMPO,null
MT00127,PA6 CM1011G-30+M030 L0006 (GRE),AMILAN
MT00128,PA6 CM1011G-30+M030 S0027 (V),AMILAN
MT00129,PA6 CM1011G-30+M050 G1 (G),AMILAN
MT00130,PBT 1184G-20 N8 (NATURAL),TORAYCON
MT00131,PRESS-MTL,null
MT00132,C1100R-H0.8x76,PRESS
MT00133,C2600R 1/2H Sn Tin Plate0.64x55,PRESS
MT00134,C2600R 1/2H Sn Tin Plate0.64x65,PRESS
MT00135,C2600R 1/2H Sn Tin Plate0.64x65,PRESS
MT00136,C2600R 1/2H Sn Tin Plate0.64x35,PRESS
MT00137,C2600R 1/2H Sn Tin Plate0.64x35,PRESS
MT00138,C2600R 1/2H Sn Tin Plate0.64x40,PRESS
MT00139,C2600R 1/2H Sn Tin Plate0.64x40,PRESS
MT00140,C2600R 1/2H Sn Tin Plate0.64x46,PRESS
MT00141,C2600R 1/2H Sn Tin Plate0.64x46,PRESS
MT00142,KBEC390-GX-K21.2x130,PRESS
MT00143,C2680R-1/2H0.64x39,PRESS
MT00144,C1100R-1/2HAg W-SP20.64x25,PRESS
MT00145,C1100R-1/2 Ag3 W-SP30.64x94,PRESS
MT00146,C2680R-1/2H MB Sn0.64x42,PRESS
MT00147,C2680R-1/2H0.64x39,PRESS
MT00148,C2680R- H0.64x33,PRESS
MT00149,C2680R-H Sn0.64x40,PRESS
MT00150,C2680R- H0.64x42,PRESS
MT00151,C1100R-H0.8x55,PRESS
MT00152,C1100R-H0.8x47,PRESS
MT00153,C1100 1/2H0.8x30,PRESS
MT00154,C1100 1/2H0.8x43,PRESS
MT00155,C1100 1/2H0.8x43,PRESS
MT00156,C2600 1/2H (Ep-Cu/Sub)0.4x135,PRESS
MT00157,C1100RC-1/2H Ag  S-SP20.64x60,PRESS
MT00158,C1100RC-1/2H Ag  S-SP20.64x60,PRESS
MT00159,C1100RC-1/2H Ag  S-SP20.64x60,PRESS
MT00160,C1100RC-1/2H Sn Tin Plate0.64x45,PRESS
MT00161,C1100RC-1/2H Sn Tin Plate0.64x34,PRESS
MT00162,C1100RC-1/2H Ag  S-SP2 0.64x65,PRESS
MT00163,C1100RC-1/2H Ag  S-SP2 0.64x65,PRESS
MT00164,C1100RC-1/2H Ag  S-SP20.64x67,PRESS
MT00165,SPCC-SD1.4x42,PRESS
MT00166,SPCC-SD1.4x42,PRESS
MT00167,SPCC-SD3.2x60,PRESS
MT00168,SPCC-SD1.4x35,PRESS
MT00169,SPCC-SD2.3x50,PRESS
MT00170,SPCC-SD2.3x50,PRESS
MT00171,SPCC-SD2.3x48,PRESS
MT00172,SPCC-SD2.3x55,PRESS
MT00173,C1100RC-1/2H Ag  S-SP2 (Top)0.64x48,PRESS
MT00174,C1100RC-1/2H Ag  W-SP20.64x34.5,PRESS
MT00175,C2600R 1/2H Sn Tin Plate0.64x29,PRESS
MT00176,C2600R 1/2H Sn Tin Plate0.8x39,PRESS
MT00177,SUS 304-CSP 1/2H0.4x15,PRESS
MT00178,C1100RC-1/2H Ag  S-SP2 (Bottom)0.6x25,PRESS
MT00179,C5191R-1/2H0.5x42,PRESS
MT00180,C5191R-1/2H0.5x42,PRESS
MT00181,EGC-QS 0.8x151,PRESS
MT00182,C1100R-1/2 Ag3 W-SP30.64x83,PRESS
MT00183,M702S-1/2HT0.2x18,PRESS
MT00184,C5210R-EH Ag S-SP2 (Buttom)0.2x23,PRESS
MT00185,C5210R-EH Ag S-SP2 (Buttom)0.2x23,PRESS
MT00186,C5210R-EH Ag S-SP2 (Buttom)0.2x23,PRESS
MT00187,MAX251-EH Ag S-SP20.15x28,PRESS
MT00188,MAX251-EH Ag S-SP20.15x28,PRESS
MT00189,MAX251-EH Ag S-SP20.15x28,PRESS
MT00190,C5210R-H Ag l um0.2x10.5,PRESS
MT00191,C5210R-H Ag1su (1side)0.2x10,PRESS
MT00192,C2680R-1/2H  /Ag 3 sm (2side)0.64x52,PRESS
MT00193,C2680R-1/2H  /Ag 3 sm (2side)0.64x52,PRESS
MT00194,C5210R-EH0.18x19,PRESS
MT00195,C5191R-H 0.15x9,PRESS
MT00196,C2680R-1/2H Sn3um0.64x29,PRESS
MT00197,C2680Sn3um0.64x21,PRESS
MT00198,C1100 1/2H0.6x14.5,PRESS
MT00199,C1100 1/2H0.6x51,PRESS
MT00200,C5210-1/2H0.25x46,PRESS
MT00201,C1100 1/2H0.8x48,PRESS
MT00202,C1100 1/2H0.8x48,PRESS
MT00203,C1100 1/2H0.8x75,PRESS
MT00204,C1100 1/2H0.8x75,PRESS
MT00205,C1100 1/2H0.8x48,PRESS
MT00206,C1100 1/2H0.8x48,PRESS
MT00207,C1100 1/2H0.8x67,PRESS
MT00208,C1100 1/2H0.8x67,PRESS
MT00209,C5210R-H Ag l um0.2x10.5,PRESS
MT00210,C2680R-H   Ag 0.5um0.64x35,PRESS
MT00211,C2680R-H   Ag 0.5um0.64x35,PRESS
MT00212,C2680R-1/2H   Ag 0.5su(2Side)0.64x27,PRESS
MT00213,SPCE Nickle Plate 1.5um0.8x28.5,PRESS
MT00214,"C1100R-1/2H/Ag (IN 1-5,OUT 3-5 )0.64x83",PRESS
MT00215,"C1100R-1/2H/Ag (IN 1-5,OUT 3-5 )0.64x83",PRESS
MT00216,"C1100R-1/2H/Ag (IN 1-5,OUT 3-5 )0.64x92",PRESS
MT00217,"C1100R-1/2H/Ag (IN 1-5,OUT 3-5 )0.64x92",PRESS
MT00218,C1100R-1/2H Ag S0.3x34,PRESS
MT00219,C2680R-1/2H Sn0.5x35,PRESS
MT00220,C2600R 1/2H Sn0.64x47,PRESS
MT00221,C2600R 1/2H Sn0.64x56,PRESS
MT00222,C1100R-H0.8x55,PRESS
MT00223,C1100R-H0.8x45,PRESS
MT00224,"C1100R-1/2H/Ag (IN 1-5,OUT 3-5 )0.64x74",PRESS
MT00225,"C1100R-1/2H/Ag (IN 1-5,OUT 3-5 )0.64x85",PRESS
